from_station_name,to_station_name,trip_duration_in_minutes
Beauty World,Chinese Garden,44
Beauty World,Choa Chu Kang,28
Beauty World,City Hall,30
Beauty World,Clarke Quay,28
Beauty World,Clementi,38
Beauty World,Commonwealth,35
Beauty World,Dakota,37
Beauty World,Dhoby Ghaut,26
Beauty World,Dover,35
Beauty World,Downtown,26
Beauty World,Esplanade,31
Beauty World,Eunos,38
Beauty World,Expo,59
Beauty World,Farrer Park,25
Beauty World,Farrer Road,22
Beauty World,Fort Canning,32
Beauty World,Gardens by the Bay,37
Beauty World,Geylang Bahru,39
Beauty World,Great World,26
Beauty World,Gul Circle,58
Beauty World,HarbourFront,35
Beauty World,Havelock,28
Beauty World,Haw Par Villa,33
Beauty World,Hillview,9
Beauty World,Holland Village,24
Beauty World,Hougang,39
Beauty World,Hume,6
Beauty World,Jalan Besar,35
Beauty World,Joo Koon,55
Beauty World,Jurong East,42
Beauty World,Kaki Bukit,46
Beauty World,Kallang,32
